Date,Open,High,Low,Close,Volume
1/22/2024 16:00:00,4853.42,4868.41,4844.05,4850.43,0
1/23/2024 16:00:00,4856.8,4866.48,4844.37,4864.6,0
1/24/2024 16:00:00,4888.56,4903.68,4865.94,4868.55,0
1/25/2024 16:00:00,4886.66,4898.15,4869.34,4894.16,0
1/26/2024 16:00:00,4888.91,4906.69,4881.47,4890.97,0
1/29/2024 16:00:00,4892.95,4929.31,4887.4,4927.93,0
1/30/2024 16:00:00,4925.89,4931.09,4916.27,4924.97,0
1/31/2024 16:00:00,4899.19,4906.75,4845.15,4845.65,0
2/1/2024 16:00:00,4861.11,4906.97,4853.52,4906.19,0
2/2/2024 16:00:00,4916.06,4975.29,4907.99,4958.61,0
2/5/2024 16:00:00,4957.19,4957.19,4918.09,4942.81,0
2/6/2024 16:00:00,4950.16,4957.77,4934.88,4954.23,0
2/7/2024 16:00:00,4973.05,4999.89,4969.05,4995.06,0
2/8/2024 16:00:00,4995.16,5000.4,4987.09,4997.91,0
2/9/2024 16:00:00,5004.17,5030.06,5000.34,5026.61,0
2/12/2024 16:00:00,5026.83,5048.39,5016.83,5021.84,0
2/13/2024 16:00:00,4967.94,4971.3,4920.31,4953.17,0
2/14/2024 16:00:00,4976.44,5002.52,4956.45,5000.62,0
2/15/2024 16:00:00,5003.14,5032.72,4999.44,5029.73,0
2/16/2024 16:00:00,5031.13,5038.7,4999.52,5005.57,0
2/20/2024 16:00:00,4989.32,4993.71,4955.02,4975.51,0
2/21/2024 16:00:00,4963.03,4983.21,4946,4981.8,0
2/22/2024 16:00:00,5038.83,5094.39,5038.83,5087.03,0
2/23/2024 16:00:00,5100.92,5111.06,5081.46,5088.8,0
2/26/2024 16:00:00,5093,5097.66,5068.91,5069.53,0
2/27/2024 16:00:00,5074.6,5080.69,5057.29,5078.18,0
2/28/2024 16:00:00,5067.2,5077.37,5058.35,5069.76,0
2/29/2024 16:00:00,5085.36,5104.99,5061.89,5096.27,0
3/1/2024 16:00:00,5098.51,5140.33,5094.16,5137.08,0
3/4/2024 16:00:00,5130.99,5149.67,5127.18,5130.95,0
3/5/2024 16:00:00,5110.52,5114.54,5056.82,5078.65,0
3/6/2024 16:00:00,5108.03,5127.97,5092.22,5104.76,0
3/7/2024 16:00:00,5132.38,5165.62,5128.21,5157.36,0
3/8/2024 16:00:00,5164.46,5189.26,5117.5,5123.69,0
3/11/2024 16:00:00,5111.96,5124.66,5091.14,5117.94,0
3/12/2024 16:00:00,5134.3,5179.87,5114.48,5175.27,0
3/13/2024 16:00:00,5173.49,5179.14,5151.88,5165.31,0
3/14/2024 16:00:00,5175.14,5176.85,5123.3,5150.48,0
3/15/2024 16:00:00,5123.31,5136.86,5104.35,5117.09,0
3/18/2024 16:00:00,5154.77,5175.6,5145.47,5149.42,0
3/19/2024 16:00:00,5139.09,5180.31,5131.59,5178.51,0
3/20/2024 16:00:00,5181.69,5226.19,5171.55,5224.62,0
3/21/2024 16:00:00,5253.43,5261.1,5240.66,5241.53,0
3/22/2024 16:00:00,5242.48,5246.09,5229.87,5234.18,0
3/25/2024 16:00:00,5219.52,5229.09,5216.09,5218.19,0
3/26/2024 16:00:00,5228.85,5235.16,5203.42,5203.58,0
3/27/2024 16:00:00,5226.31,5249.26,5213.92,5248.49,0
3/28/2024 16:00:00,5248.03,5264.85,5245.82,5254.35,0
4/1/2024 16:00:00,5257.97,5263.95,5229.2,5243.77,0
4/2/2024 16:00:00,5204.29,5208.34,5184.05,5205.81,0
4/3/2024 16:00:00,5194.37,5228.75,5194.37,5211.49,0
4/4/2024 16:00:00,5244.05,5256.59,5146.06,5147.21,0
4/5/2024 16:00:00,5158.95,5222.18,5157.21,5204.34,0
4/8/2024 16:00:00,5211.37,5219.57,5197.35,5202.39,0
4/9/2024 16:00:00,5217.03,5224.81,5160.78,5209.91,0
4/10/2024 16:00:00,5167.88,5178.43,5138.7,5160.64,0
4/11/2024 16:00:00,5172.95,5211.78,5138.77,5199.06,0
4/12/2024 16:00:00,5171.51,5175.03,5107.94,5123.41,0
4/15/2024 16:00:00,5149.67,5168.43,5052.47,5061.82,0
4/16/2024 16:00:00,5064.59,5079.84,5039.83,5051.41,0
4/17/2024 16:00:00,5068.97,5077.96,5007.25,5022.21,0
4/18/2024 16:00:00,5031.52,5056.66,5001.89,5011.12,0
4/19/2024 16:00:00,5005.44,5019.02,4953.56,4967.23,0
4/22/2024 16:00:00,4987.33,5038.84,4969.4,5010.6,0
4/23/2024 16:00:00,5028.85,5076.12,5027.96,5070.55,0
4/24/2024 16:00:00,5084.86,5089.48,5047.02,5071.63,0
4/25/2024 16:00:00,5019.88,5057.75,4990.58,5048.42,0
4/26/2024 16:00:00,5084.65,5114.62,5073.14,5099.96,0
4/29/2024 16:00:00,5114.13,5123.49,5088.65,5116.17,0
4/30/2024 16:00:00,5103.78,5110.83,5035.31,5035.69,0
5/1/2024 16:00:00,5029.03,5096.12,5013.45,5018.39,0
5/2/2024 16:00:00,5049.32,5073.21,5011.05,5064.2,0
5/3/2024 16:00:00,5122.78,5139.12,5101.22,5127.79,0
5/6/2024 16:00:00,5142.42,5181,5142.42,5180.74,0
5/7/2024 16:00:00,5187.2,5200.23,5178.96,5187.7,0
5/8/2024 16:00:00,5168.98,5191.95,5165.86,5187.67,0
5/9/2024 16:00:00,5189.03,5215.3,5180.41,5214.08,0
5/10/2024 16:00:00,5225.49,5239.66,5209.68,5222.68,0
5/13/2024 16:00:00,5233.08,5237.26,5211.16,5221.42,0
5/14/2024 16:00:00,5221.1,5250.37,5217.98,5246.68,0
5/15/2024 16:00:00,5263.26,5311.76,5263.26,5308.15,0
5/16/2024 16:00:00,5310.07,5325.49,5296.19,5297.1,0
5/17/2024 16:00:00,5303.1,5305.45,5283.59,5303.27,0
5/20/2024 16:00:00,5305.35,5325.32,5302.4,5308.13,0
5/21/2024 16:00:00,5298.69,5324.32,5297.87,5321.41,0
5/22/2024 16:00:00,5319.28,5323.18,5286.01,5307.01,0
5/23/2024 16:00:00,5340.26,5341.88,5256.93,5267.84,0
5/24/2024 16:00:00,5281.45,5311.65,5278.39,5304.72,0
5/28/2024 16:00:00,5315.91,5315.91,5280.89,5306.04,0
5/29/2024 16:00:00,5278.73,5282.27,5262.7,5266.95,0
5/30/2024 16:00:00,5259.77,5260.21,5222.1,5235.48,0
5/31/2024 16:00:00,5243.21,5280.33,5191.68,5277.51,0
6/3/2024 16:00:00,5297.15,5302.11,5234.32,5283.4,0
6/4/2024 16:00:00,5278.24,5298.8,5257.63,5291.34,0
6/5/2024 16:00:00,5314.48,5354.16,5297.64,5354.03,0
6/6/2024 16:00:00,5357.8,5362.35,5335.36,5352.96,0
6/7/2024 16:00:00,5343.81,5375.08,5331.33,5346.99,0
